,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
0,Ford Figo Duratec,Bangalore,380000,35056, Petrol,2015,Ford
1,Maruti Suzuki Wagon,Bangalore,465000,44000, Petrol,2016,Maruti
2,Hyundai Creta 1.6,Bangalore,1350000,42917, Petrol,2018,Hyundai
3,Hyundai Venue -,Chennai,1019699,16112, Petrol ,2019,Hyundai
4,Honda Jazz -,Pune,713499,30988, Petrol ,2017,Honda
5,Hyundai i20 -,Pune,391099,69163, Diesel ,2013,Hyundai
6,Maruti Suzuki Swift,Pune,474299,42859, Petrol ,2015,Maruti
7,Toyota Corolla Altis,Pune,1252999,34919, Petrol ,2017,Toyota
8,Honda Amaze -,Pune,393699,44940, Petrol,2013,Honda
9,Hyundai Elite i20,Pune,730899,13687, Petrol ,2017,Hyundai
10,Maruti Suzuki Alto,Pune,343099,29848, Petrol ,2018,Maruti
11,Honda Jazz -,Pune,707599,21426, Petrol ,2018,Honda
12,Maruti Suzuki Baleno,Pune,688899,68177, Diesel ,2016,Maruti
13,Jeep Compass -,Pune,1421599,70650, Diesel ,2017,Jeep
14,Maruti Suzuki Alto,Pune,399999,25730, Petrol ,2017,Maruti
15,Kia Seltos -,Pune,1473299,47096, Petrol ,2019,Kia
16,Toyota Innova 2.5,Bangalore,1025000,131000, Diesel,2012,Toyota
17,Hyundai Elite i20,Bangalore,735000,26000, Petrol,2016,Hyundai
18,Hyundai Creta 1.6,Chennai,600000,58460, Diesel ,2019,Hyundai
19,Kia Seltos -,Chennai,800000,48000, Petrol ,2020,Kia
20,Maruti Suzuki Ciaz,Hyderabad,700000,26600, Petrol,2017,Maruti
21,Ford EcoSport Titanium,Faridabad,820000,36000, Petrol,2019,Ford
22,Tata Nano Twist,Chennai,195000,39500, Petrol,2014,Tata
23,Audi Q7 3.0,Chennai,1850000,76000, Diesel,2011,Audi
24,Ford Ecosport -,Pune,807499,23698, Petrol ,2017,Ford
25,Hyundai Grand i10,Pune,522999,37860, Petrol ,2016,Hyundai
26,Maruti Suzuki Swift,Pune,474299,91830, Petrol ,2015,Maruti
27,Hyundai Elite i20,Pune,740899,31172, Petrol ,2019,Hyundai
28,Toyota Yaris -,Pune,1141999,3243, Petrol ,2021,Toyota
29,Tata Nexon -,Pune,971299,9616, Petrol ,2020,Tata
30,Maruti Suzuki Baleno,Pune,640999,30249, Petrol ,2017,Maruti
31,Maruti Suzuki Baleno,Pune,676199,60875, Petrol ,2019,Maruti
32,Maruti Suzuki Swift,Chennai,562399,25740, Petrol ,2017,Maruti
33,Ford Ecosport 1.0,Pune,580899,38587, Petrol ,2014,Ford
34,Renault Triber -,Pune,770999,3108, Petrol ,2021,Renault
35,Honda Amaze -,Pune,531399,35353, Petrol ,2016,Honda
36,Hyundai EON Magna,Pune,367299,34748, Petrol ,2017,Hyundai
37,Maruti Suzuki Alto,Pune,412199,2359, Petrol ,2020,Maruti
38,Hyundai Creta S,Pune,1460099,17814, Diesel ,2020,Hyundai
39,Maruti Suzuki Baleno,Pune,618699,68934, Petrol ,2018,Maruti
40,Hyundai i20 Asta,Bangalore,485000,72600, Petrol ,2014,Hyundai
41,BMW 3 Series,Chennai,890000,81000, Diesel,2010,BMW
42,Nissan Micra XV,Chennai,245000,80000, Diesel ,2012,Nissan
43,Toyota Glanza V,Bangalore,945000,12000, Petrol,2020,Toyota
44,Maruti Suzuki Swift,Bangalore,590000,6000, Petrol,2016,Maruti
45,Honda Brio S,Bangalore,495000,56000, Petrol,2017,Honda
46,Maruti Suzuki Wagon,Bangalore,475000,56000, Petrol,2017,Maruti
47,MG Motors Hector,Chennai,1200000,36000, Diesel ,2020,MG
48,Maruti Suzuki Wagon,Pune,490199,15840, Petrol ,2017,Maruti
49,Maruti Suzuki Baleno,Pune,618699,68934, Petrol ,2018,Maruti
50,Maruti Suzuki Vitara,Pune,920999,32482, Diesel ,2017,Maruti
51,Honda City -,Pune,554399,113779, Diesel ,2014,Honda
52,Maruti Suzuki Wagon,Pune,408999,26150, Petrol ,2017,Maruti
53,Mahindra XUV 500,Pune,1248299,34555, Diesel ,2018,Mahindra
54,Maruti Suzuki Baleno,Pune,636099,30880, Petrol ,2018,Maruti
55,Hyundai i20 Asta,Pune,452699,70423, Petrol ,2013,Hyundai
56,Hyundai Elite i20,Pune,704399,30232, Diesel ,2018,Hyundai
57,Volkswagen Polo -,Pune,553599,50077, Petrol ,2016,Volkswagen
58,Ford Ecosport -,Pune,999599,18482, Diesel ,2018,Ford
59,Maruti Suzuki Baleno,Pune,684699,10246, Petrol ,2018,Maruti
60,Maruti Suzuki Baleno,Pune,620399,25021, Petrol ,2016,Maruti
61,Hyundai Elite i20,Pune,549899,70646, Petrol ,2014,Hyundai
62,Maruti Suzuki Vitara,Pune,812899,45490, Diesel ,2018,Maruti
63,Ford Ecosport -,Chennai,656699,53306, Diesel ,2016,Ford
64,Hyundai Creta 1.6,Chennai,725000,58460, Diesel ,2019,Hyundai
65,Hyundai Venue -,Chennai,600000,29000, Diesel ,2019,Hyundai
66,Volvo XC90 D5,Chennai,3700000,110000, Diesel,2016,Volvo
67,Mahindra XUV 500,Chennai,735000,95000, Diesel,2013,Mahindra
68,Toyota Fortuner 3.0,Chennai,1350000,170000, Diesel,2012,Toyota
69,Honda Jazz VX,Pune,365000,80000, Petrol,2013,Honda
70,Hyundai i10 Asta,Pune,280000,58000, Petrol,2011,Hyundai
71,Tata Nexon XM,Pune,840000,22000, Diesel,2019,Tata
72,Hyundai Creta 1.6,Pune,818599,69215, Petrol ,2017,Hyundai
73,Hyundai Verna 1.6,Pune,862399,33340, Petrol ,2018,Hyundai
74,Renault Triber -,Pune,673599,9783, Petrol ,2019,Renault
75,Hyundai Santro Sportz,Pune,528899,15110, Petrol ,2018,Hyundai
76,Maruti Suzuki S,Pune,527999,3399, Petrol ,2021,Maruti
77,Mahindra XUV 500,Pune,791699,89310, Diesel ,2013,Mahindra
78,Maruti Suzuki Wagon,Chennai,392999,53148, Petrol ,2015,Maruti
79,Honda City VX,Pune,690199,42020, Petrol ,2015,Honda
80,Maruti Suzuki Swift,Pune,474699,74594, Diesel ,2013,Maruti
81,MG Motors Hector,Pune,2019899,6110, Petrol ,2021,MG
82,Hyundai Grand i10,Pune,562299,24346, Petrol ,2017,Hyundai
83,Jeep Compass -,Pune,1400999,65668, Diesel ,2017,Jeep
84,Renault Kwid -,Pune,447599,48644, Petrol ,2018,Renault
85,Toyota Innova Crysta,Pune,1814599,36877, Diesel ,2018,Toyota
86,Tata Nexon -,Pune,920399,79673, Diesel ,2018,Tata
87,Maruti Suzuki Swift,Pune,447599,54352, Petrol ,2014,Maruti
88,Tata Zest XMS,Pune,390000,64000, Diesel,2016,Tata
89,Ford Freestyle TITANIUM,Kanchipuram,650000,54000, Diesel,2018,Ford
90,Maruti Suzuki Swift,Chennai,575000,40000, Petrol,2017,Maruti
91,Mahindra Xylo -,Kozhikode,525000,107000, Diesel ,2015,Mahindra
92,Mahindra Xylo -,Kozhikode,525000,107000, Diesel ,2015,Mahindra
93,BMW 5 Series,Kolkata,1000000,38000, Diesel,2011,BMW
94,Hyundai i20 Magna,Bangalore,325000,86000, Petrol,2010,Hyundai
